002518,2010-12-07
300435,2015-03-26
603329,2017-12-29
002328,2009-12-30
000921,1999-07-13
600502,2003-04-15
000782,1997-06-19
000605,1996-09-13
300117,2010-09-02
300571,2016-12-13
000596,1996-09-27
603658,2016-09-01
600616,1992-09-29
300318,2012-05-23
002367,2010-03-12
603365,2017-11-20
600479,2004-03-12
600392,2003-05-29
600610,1992-08-05
600692,1993-11-19
000155,2000-09-26
600696,1993-12-06
600556,2001-08-07
600895,1996-04-22
603488,2017-05-16
002177,2007-11-01
002674,2012-05-07
300633,2017-04-06
600708,1996-06-06
600623,1992-12-04
000603,1996-08-23
600258,2000-06-01
601216,2011-02-22
300636,2017-03-31
002473,2010-09-10
600421,2004-06-07
002676,2012-05-25
300598,2017-01-20
300397,2014-09-10
002531,2010-12-31
600193,1999-05-27
601886,2011-08-18
002382,2010-04-02
002604,2011-07-28
600714,1996-06-06
300600,2017-01-25
600807,1994-01-03
000655,1996-11-28
000912,1999-06-03
002181,2007-11-16
000425,1996-08-28
600866,1994-08-18
002662,2012-03-09
000014,1992-06-02
600579,2002-08-09
600725,1996-07-02
002684,2012-06-12
300501,2016-02-04
002126,2007-04-18
600701,1996-05-28
000338,2007-04-30
603667,2016-10-25
600883,1995-12-08
002628,2011-11-03
603338,2015-03-25
002816,2016-10-25
300707,2017-10-10
000637,1996-11-14
002337,2010-01-15
000061,1997-01-10
002683,2012-06-12
002320,2009-12-16
000617,1996-10-22
603337,2017-01-19
600690,1993-11-19
000868,1997-07-25
000539,1993-11-26
603110,2017-10-13
002685,2012-06-12
000970,2000-04-20
002196,2007-12-12
002620,2011-09-29
603696,2015-12-09
000632,1996-11-21
600821,1994-01-28
603069,2016-07-12
000876,1998-03-11
300153,2010-12-29
300713,2017-11-01
300274,2011-11-02
300155,2011-01-07
600284,2004-03-16
002098,2006-12-22
300599,2017-01-23
000761,1998-01-15
600719,1996-07-16
002020,2004-07-15
002864,2017-11-16
000791,1997-10-14
300480,2015-07-02
600655,1992-09-02
600106,1997-06-18
000548,1993-12-20
600612,1992-08-14
600823,1994-02-04
000716,1997-04-18
600602,1990-12-19
603989,2015-05-15
600426,2002-06-20
002290,2009-09-03
600480,2003-08-15
002346,2010-01-28
600995,2004-06-15
600663,1993-06-28
002210,2008-01-30
002124,2007-04-03
000957,2000-01-13
600634,1993-03-04
300630,2017-03-28
000420,1996-08-02
002549,2011-02-18
002417,2010-06-01
600199,1998-08-12
000090,1999-07-21
300236,2011-06-29
300061,2010-03-19
603300,2015-05-29
300482,2015-06-30
600094,1997-07-03
002496,2010-11-09
002608,2011-08-10
000657,1996-12-05
300032,2009-12-25
300139,2010-11-12
600358,2000-09-22
300400,2014-10-10
603378,2017-09-28
000528,1993-11-18
000969,2000-05-29
000505,1992-12-21
002476,2010-09-15
002332,2010-01-12
300140,2010-11-12
600773,1996-11-08
000820,1998-06-30
600081,1997-07-03
002248,2008-06-12
603131,2016-06-07
603898,2015-02-17
300559,2016-11-01
000799,1997-07-18
002202,2007-12-26
002242,2008-05-28
