code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002652,扬子新材,其他建材,江苏,37.75,4.32,5.12,278862.88,190319.16,56478.53,921.4,0.02,0.09699999999999999,1.39,5.28,20120119,15745.44,0.31,67.08,62.09,18.11,4.12,21426.0
300226,上海钢联,互联网,上海,251.25,1.48,1.59,703557.44,666913.81,20651.32,44804.2,2.81,0.037000000000000005,3.19,11.63,20110608,-11836.71,-0.74,127.65,45.81,0.65,0.04,16282.0
300391,康跃科技,机械基件,山东,397.1,0.62,1.98,76058.77,40430.84,27078.97,6815.7,0.34,0.01,2.18,7.81,20140801,11194.53,0.56,9.88,61.6,34.12,3.13,11510.0
300542,新晨科技,软件服务,北京,0.0,0.23,0.91,64469.0,53050.28,1268.54,19925.65,2.19,-0.03,6.21,4.89,20160920,23376.06,2.56,0.0,0.0,25.72,-3.36,13635.0
601878,浙商证券,证券,浙江,57.55,3.33,33.33,5516942.5,0.0,93671.75,398078.09,1.19,0.18,3.85,4.72,20170626,376396.31,1.13,0.0,0.0,0.0,25.57,207731.0
300035,中科电气,工程机械,湖南,74.28,3.71,5.18,131910.22,60589.01,21349.26,37518.9,0.72,0.055,2.14,3.84,20091225,17548.64,0.34,101.89,83.58,40.06,17.28,36980.0
000669,金鸿能源,供气供热,吉林,26.18,4.79,4.86,1253468.0,226243.91,535585.0,179741.91,3.7,0.175,8.27,2.21,19961210,163342.34,3.36,7.38,0.73,32.59,12.48,18490.0
300633,开立医疗,医疗保健,深圳,61.32,0.4,4.0,122769.56,100833.06,4121.56,20609.49,0.52,0.2,2.37,9.54,20170406,29119.09,0.73,0.0,0.0,68.77,17.38,17641.0
600258,首旅酒店,酒店餐饮,北京,162.22,2.78,8.16,1709927.0,186035.34,261057.7,503750.31,6.18,0.043,8.29,3.34,20000601,80853.78,0.99,437.35,395.55,94.9,1.82,14805.0
600139,西部资源,铜,四川,0.0,6.62,6.62,588818.56,220745.5,32733.9,37659.3,0.57,-0.051,1.48,5.74,19980225,-14323.62,-0.22,-81.3,24.51,36.76,-70.05,33103.0
